path,word,token,phrase,upload_date
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Baffle 2023-12-15 Upload/Documentation/SG ASL Baffle 2023-12-15 GIF.gif,baffle,BAFFLE,Baffle,2023-12-15
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Baffle 2023-12-15 Upload/Documentation/SG ASL Baffle 2023-12-15 CC.mp4,baffle,BAFFLE,Baffle,2023-12-15
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Between (Alt) 2024-4-6 Upload/Documentation/SG ASL Between (Alt) 2024-4-6 GIF.gif,between (alt),BETWEEN (ALT),Between (Alt),2024-4-6
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Between (Alt) 2024-4-6 Upload/Documentation/SG ASL Between (Alt) 2024-4-6 CC.mp4,between (alt),BETWEEN (ALT),Between (Alt),2024-4-6
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Between (Alt) 2024-4-6 Upload/Documentation/SG ASL Between (Alt) 2024-4-6.mkv,between (alt),BETWEEN (ALT),Between (Alt),2024-4-6
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Basement (Alt) 2 2024-1-22 Upload/Documentation/SG ASL Basement (Alt) 2 2024-1-22.mkv,basement (alt) 2,BASEMENT (ALT) 2,Basement (Alt) 2,2024-1-22
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Basement (Alt) 2 2024-1-22 Upload/Documentation/SG ASL Basement (Alt) 2 2024-1-22 CC.mp4,basement (alt) 2,BASEMENT (ALT) 2,Basement (Alt) 2,2024-1-22
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Basement (Alt) 2 2024-1-22 Upload/Documentation/SG ASL Basement (Alt) 2 2024-1-22 GIF.gif,basement (alt) 2,BASEMENT (ALT) 2,Basement (Alt) 2,2024-1-22
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bowling Ball Alt 2024-7-2 Upload/Documentation/SG ASL Bowling Ball Alt 2024-7-2.mkv,bowling ball alt,BOWLING BALL ALT,Bowling Ball Alt,2024-7-2
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bowling Ball Alt 2024-7-2 Upload/Documentation/SG ASL Bowling Ball Alt 2024-7-2 CC.mp4,bowling ball alt,BOWLING BALL ALT,Bowling Ball Alt,2024-7-2
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bowling Ball Alt 2024-7-2 Upload/Documentation/SG ASL Bowling Ball Alt 2024-7-2 GIF.gif,bowling ball alt,BOWLING BALL ALT,Bowling Ball Alt,2024-7-2
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Barren 3 2024-1-17 Upload/Documentation/SG ASL Barren 3 2024-1-17 CC.mp4,barren 3,BARREN 3,Barren 3,2024-1-17
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Barren 3 2024-1-17 Upload/Documentation/SG ASL Barren 3 2024-1-17 GIF.gif,barren 3,BARREN 3,Barren 3,2024-1-17
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Barren 3 2024-1-17 Upload/Documentation/SG ASL Barren 3 2024-1-17.mkv,barren 3,BARREN 3,Barren 3,2024-1-17
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Balloon 2 2023-12-20 Upload/Documentation/SG ASL Balloon 2 2023-12-20 CC.mp4,balloon 2,BALLOON 2,Balloon 2,2023-12-20
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Balloon 2 2023-12-20 Upload/Documentation/SG ASL Balloon 2 2023-12-20.mkv,balloon 2,BALLOON 2,Balloon 2,2023-12-20
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Balloon 2 2023-12-20 Upload/Documentation/SG ASL Balloon 2 2023-12-20 GIF.gif,balloon 2,BALLOON 2,Balloon 2,2023-12-20
