path,filename,word,phrase,upload_date,token
/content/asl_app_data/dictionary/SG ASL Arms 1 2023-8-14 CC.mp4,SG ASL Arms 1 2023-8-14 CC.mp4,Arms,,2023-8-14,
/content/asl_app_data/dictionary/SG ASL Army 2023-8-14 CC.mp4,SG ASL Army 2023-8-14 CC.mp4,Army,,2023-8-14,
/content/asl_app_data/dictionary/SG ASL Army Tank 2023-8-14 CC.mp4,SG ASL Army Tank 2023-8-14 CC.mp4,,Army Tank,2023-8-14,
/content/asl_app_data/dictionary/SG ASL Aromatic 2023-8-15 CC.mp4,SG ASL Aromatic 2023-8-15 CC.mp4,Aromatic,,2023-8-15,
/content/asl_app_data/dictionary/SG ASL Around (Alt) 2023-8-15 CC.mp4,SG ASL Around (Alt) 2023-8-15 CC.mp4,Around,,2023-8-15,
/content/asl_app_data/dictionary/SG ASL Arouse 1 2023-8-16 CC.mp4,SG ASL Arouse 1 2023-8-16 CC.mp4,Arouse,,2023-8-16,
/content/asl_app_data/dictionary/SG ASL Arrange 2023-8-17 CC.mp4,SG ASL Arrange 2023-8-17 CC.mp4,Arrange,,2023-8-17,
/content/asl_app_data/dictionary/SG ASL Arranged Marriage 2023-8-17 CC.mp4,SG ASL Arranged Marriage 2023-8-17 CC.mp4,,Arranged Marriage,2023-8-17,
/content/asl_app_data/dictionary/SG ASL Arrest (Alt) 1 2023-8-17 CC.mp4,SG ASL Arrest (Alt) 1 2023-8-17 CC.mp4,Arrest,,2023-8-17,
/content/asl_app_data/dictionary/SG ASL Arrest Warrant 1 2023-8-18 CC.mp4,SG ASL Arrest Warrant 1 2023-8-18 CC.mp4,,Arrest Warrant,2023-8-18,
/content/asl_app_data/dictionary/SG ASL Arrival Time 1 2023-8-18 CC.mp4,SG ASL Arrival Time 1 2023-8-18 CC.mp4,,Arrival Time,2023-8-18,
/content/asl_app_data/dictionary/SG ASL Arrive (Alt) 2023-8-18 CC.mp4,SG ASL Arrive (Alt) 2023-8-18 CC.mp4,Arrive,,2023-8-18,
/content/asl_app_data/dictionary/SG ASL Arrogant (Alt) 1 2023-8-19 CC.mp4,SG ASL Arrogant (Alt) 1 2023-8-19 CC.mp4,Arrogant,,2023-8-19,
/content/asl_app_data/dictionary/SG ASL Arrow 1 2023-8-22 CC.mp4,SG ASL Arrow 1 2023-8-22 CC.mp4,Arrow,,2023-8-22,
/content/asl_app_data/dictionary/SG ASL Arson 1 2023-8-22 CC.mp4,SG ASL Arson 1 2023-8-22 CC.mp4,Arson,,2023-8-22,
/content/asl_app_data/dictionary/SG ASL Art 1 2023-8-23 CC.mp4,SG ASL Art 1 2023-8-23 CC.mp4,Art,,2023-8-23,
/content/asl_app_data/dictionary/SG ASL Art Gallery 1 2023-8-23 CC.mp4,SG ASL Art Gallery 1 2023-8-23 CC.mp4,,Art Gallery,2023-8-23,
/content/asl_app_data/dictionary/SG ASL Article 1 2023-8-23 CC.mp4,SG ASL Article 1 2023-8-23 CC.mp4,Article,,2023-8-23,
/content/asl_app_data/dictionary/SG ASL Articulate (Alt) 1 2023-8-24 CC.mp4,SG ASL Articulate (Alt) 1 2023-8-24 CC.mp4,Articulate,,2023-8-24,
/content/asl_app_data/dictionary/SG ASL Artifact 1 2023-8-24 CC.mp4,SG ASL Artifact 1 2023-8-24 CC.mp4,Artifact,,2023-8-24,
/content/asl_app_data/dictionary/SG ASL Artificial (Alt) 2023-8-25 CC.mp4,SG ASL Artificial (Alt) 2023-8-25 CC.mp4,Artificial,,2023-8-25,
/content/asl_app_data/dictionary/SG ASL Artificial Variant 1 2023-8-25 CC.mp4,SG ASL Artificial Variant 1 2023-8-25 CC.mp4,,Artificial Variant,2023-8-25,
/content/asl_app_data/dictionary/SG ASL Artist 2023-8-26 CC.mp4,SG ASL Artist 2023-8-26 CC.mp4,Artist,,2023-8-26,
/content/asl_app_data/dictionary/SG ASL As 1 2023-8-26 CC.mp4,SG ASL As 1 2023-8-26 CC.mp4,As,,2023-8-26,
/content/asl_app_data/dictionary/SG ASL As Well 1 2023-8-27 CC.mp4,SG ASL As Well 1 2023-8-27 CC.mp4,,As Well,2023-8-27,
/content/asl_app_data/dictionary/SG ASL Ascend 2023-8-28 CC.mp4,SG ASL Ascend 2023-8-28 CC.mp4,Ascend,,2023-8-28,
/content/asl_app_data/dictionary/SG ASL Ascend Variant 2023-8-28 CC.mp4,SG ASL Ascend Variant 2023-8-28 CC.mp4,,Ascend Variant,2023-8-28,
/content/asl_app_data/dictionary/SG ASL Ascend Variant Plane 2023-8-27 CC.mp4,SG ASL Ascend Variant Plane 2023-8-27 CC.mp4,,Ascend Variant Plane,2023-8-27,
/content/asl_app_data/dictionary/SG ASL Ascension 2023-8-28 CC.mp4,SG ASL Ascension 2023-8-28 CC.mp4,Ascension,,2023-8-28,
/content/asl_app_data/dictionary/SG ASL Asexual 1 2023-8-29 CC.mp4,SG ASL Asexual 1 2023-8-29 CC.mp4,Asexual,,2023-8-29,
/content/asl_app_data/dictionary/SG ASL Ash Wednesday 2 2023-8-29 CC.mp4,SG ASL Ash Wednesday 2 2023-8-29 CC.mp4,,Ash Wednesday,2023-8-29,
/content/asl_app_data/dictionary/SG ASL Ashamed (Alt) 2023-8-29 CC.mp4,SG ASL Ashamed (Alt) 2023-8-29 CC.mp4,Ashamed,,2023-8-29,
/content/asl_app_data/dictionary/SG ASL Asia 1 2023-8-31 CC.mp4,SG ASL Asia 1 2023-8-31 CC.mp4,Asia,,2023-8-31,
/content/asl_app_data/dictionary/SG ASL Asia (Archiac) 1 2023-8-30 CC.mp4,SG ASL Asia (Archiac) 1 2023-8-30 CC.mp4,,Asia Archiac,2023-8-30,
/content/asl_app_data/dictionary/SG ASL Asia (Alt) Variant 2023-8-30 CC.mp4,SG ASL Asia (Alt) Variant 2023-8-30 CC.mp4,,Asia Variant,2023-8-30,
/content/asl_app_data/dictionary/SG ASL Aside 1 2023-8-31 CC.mp4,SG ASL Aside 1 2023-8-31 CC.mp4,Aside,,2023-8-31,
/content/asl_app_data/dictionary/SG ASL Asinine 1 2023-8-31 CC.mp4,SG ASL Asinine 1 2023-8-31 CC.mp4,Asinine,,2023-8-31,
/content/asl_app_data/dictionary/SG ASL Ask 1 2023-9-1 CC.mp4,SG ASL Ask 1 2023-9-1 CC.mp4,Ask,,2023-9-1,
